,弱火,正常,过火,结果
0,3.667002488327853e-07,4.685037765739253e-06,0.9999949932098389,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\1.jpg
1,0.0007475449820049107,0.9780846834182739,0.021167835220694542,正常:0.978-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\10.jpg
2,0.999607264995575,6.445097824325785e-05,0.0003282925463281572,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\11.jpg
3,4.049202857459022e-07,5.063302069174824e-06,0.9999945163726807,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\12.jpg
4,5.087040904072637e-07,4.777481990458909e-06,0.9999947547912598,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\13.jpg
5,0.007597286254167557,0.7595497369766235,0.23285293579101562,正常:0.76-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\14.jpg
6,2.9163845738366945e-07,4.054321834701113e-06,0.9999957084655762,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\15.jpg
7,0.9995982050895691,6.287442374741659e-05,0.0003388366021681577,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\16.jpg
8,0.0013043046928942204,0.9497956037521362,0.04890001565217972,正常:0.95-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\17.jpg
9,6.607347700082755e-07,9.472837518842425e-06,0.9999898672103882,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\18..jpg
10,5.1108727348037064e-05,0.9789709448814392,0.020977921783924103,正常:0.979-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\19.jpg
11,0.9997616410255432,1.5468573110410944e-05,0.00022290012566372752,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\2.jpg
12,3.065547389269341e-07,5.406216132541886e-06,0.9999942779541016,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\20.jpg
13,2.765805504623131e-07,9.772196790436283e-06,0.9999899864196777,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\21.jpg
14,6.761171243852004e-05,0.9822935461997986,0.017638949677348137,正常:0.982-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\22.jpg
15,0.00012678485654760152,0.9516036510467529,0.04826951026916504,正常:0.952-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\23.jpg
16,0.9998490810394287,3.7868605431867763e-05,0.00011295638250885531,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\24.jpg
17,0.0004527007695287466,0.9810296297073364,0.018517691642045975,正常:0.981-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\25.jpg
18,0.9999490976333618,9.180069355352316e-06,4.166333019384183e-05,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\26.jpg
19,0.9999144077301025,1.0786598977574613e-05,7.480796193704009e-05,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\27.jpg
20,0.00019990706641692668,0.9435281753540039,0.05627194419503212,正常:0.944-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\28.jpg
21,0.00012457430420909077,0.9440680146217346,0.05580739304423332,正常:0.944-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\29.jpg
22,0.999955415725708,1.231045007443754e-05,3.224607644369826e-05,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\3.jpg
23,0.00037015447742305696,0.9733428955078125,0.026286887004971504,正常:0.973-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\30.jpg
24,0.9999070167541504,6.948709597054403e-06,8.601810259278864e-05,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\31.jpg
25,2.277100605851956e-07,3.588963181755389e-06,0.9999961853027344,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\32.jpg
26,0.9999263286590576,2.120477620337624e-05,5.2493087423499674e-05,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\33.jpg
27,7.826171213309863e-07,1.3506540199159645e-05,0.9999856948852539,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\34.jpg
28,7.101977530510339e-07,2.0119756300118752e-05,0.9999791383743286,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\35.jpg
29,0.0002535273088142276,0.987798273563385,0.011948170140385628,正常:0.988-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\36.jpg
30,0.9999228715896606,1.695531864243094e-05,6.021395529387519e-05,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\37.jpg
31,3.562907750165323e-06,1.7683982150629163e-05,0.99997878074646,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\38.jpg
32,7.055801347632951e-07,9.666710866440553e-06,0.9999896287918091,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\39.jpg
33,7.535959593951702e-05,0.9823488593101501,0.017575671896338463,正常:0.982-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\4.jpg
34,0.00043439806904643774,0.9847131371498108,0.014852355234324932,正常:0.985-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\40.jpg
35,0.000219673354877159,0.9961142539978027,0.0036659918259829283,正常:0.996-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\41.jpg
36,1.3527404689739342e-06,3.475752237136476e-05,0.9999638795852661,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\42.jpg
37,1.0732203037377985e-07,5.610113930742955e-06,0.9999942779541016,过火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\43.jpg
38,0.9998513460159302,2.339784987270832e-05,0.00012532265100162476,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\44.jpg
39,0.0008628505747765303,0.9729559421539307,0.026181234046816826,正常:0.973-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\45.jpg
40,0.9997674822807312,1.9993058231193572e-05,0.00021251520956866443,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\46.jpg
41,0.9998551607131958,1.4868351172481198e-05,0.00012995080032851547,弱火:1.0-D:/ProjectFiles/Bluetron_1st/Bluetron_1st/Pioneer/validation\47.jpg
